ds,yhat,yhat_lower,yhat_upper
2014-01-31,14790.564205465584,5860.992975862451,24069.163139947614
2014-02-28,5778.539467165996,-2504.967110306086,14992.029331263524
2014-03-31,41875.34394075954,33056.31611097,50549.147500992236
2014-04-30,25662.7240264316,16760.49763767488,34785.49555033542
2014-05-31,25711.928215564592,17016.489166149084,34732.158114926824
2014-06-30,26711.737279957204,18013.056622132535,35950.7773539224
2014-07-31,26438.13390747041,17281.672345095707,35848.01535173369
2014-08-31,30856.59159904937,21427.063452339273,40022.122780097736
2014-09-30,67621.11814812917,58376.68461313649,77069.222784648
2014-10-31,36077.3872725536,26291.99904537483,45544.55409950061
2014-11-30,78301.26791298561,69102.91702188292,86993.29975459095
2014-12-31,69991.58410018883,61168.52530420259,79003.83365472667
2015-01-31,18738.34117858019,9429.831961542894,27464.170044683866
2015-02-28,13880.715060499617,3902.5136370179152,23291.31615172691
2015-03-31,49598.62624517961,39888.75759905405,58460.33842810327
2015-04-30,34576.016670027944,25189.94525539786,43768.0439288018
2015-05-31,26387.612896055944,17292.854655604006,35480.900926610084
2015-06-30,31085.925346108117,21589.94208702727,40719.075086150944
2015-07-31,33255.72041821302,23876.119797115953,42341.740943477715
2015-08-31,40664.294058474356,31269.818976476196,50274.96107152604
2015-09-30,76492.06827672027,67083.26692197919,85191.30049748096
2015-10-31,35984.17831350187,26543.85822544625,45155.53222527303
2015-11-30,86921.116986357,78017.6859811977,96375.55523098132
2015-12-31,75920.60614436638,66853.2895879695,84672.83829683205
2016-01-31,23165.283679282707,14539.289321792248,33116.582747210734
2016-02-29,14902.055134316306,5138.804145161901,24349.29730497474
2016-03-31,51723.804682695925,42838.014757144054,60663.98997083602
2016-04-30,33016.27789480213,24358.801483126314,42960.5181142503
2016-05-31,49868.217038638424,41393.84796032562,58669.40139273395
2016-06-30,44187.68679167139,34999.41091564277,54254.70567819983
2016-07-31,39287.643321273594,29640.88730024623,48560.69563519239
2016-08-31,37700.29519678585,28918.89449565789,46729.60712179373
2016-09-30,75996.70555327741,66490.40714670853,85061.57235565082
2016-10-31,62955.82738327219,52963.13307520625,72366.74409165079
2016-11-30,88181.70952747535,78553.11029260636,96500.0864628734
2016-12-31,85608.11629318143,76163.1368665375,95307.11808340135
2017-01-31,38211.236168164476,29328.500681187255,48221.767423409554
2017-02-28,25246.659744843237,16526.618990469473,34290.05087258614
2017-03-31,61845.988933462875,52368.0330590744,71308.9900843746
2017-04-30,44535.97357078336,34378.99322472243,53337.91333750644
2017-05-31,53069.81845128048,43658.635127050395,62505.037069895596
2017-06-30,50739.85279690143,41682.149900577904,60760.655883037674
2017-07-31,48243.150748262386,39061.97731239844,58239.06487134039
2017-08-31,49797.13243424837,40511.75007662218,59352.83964312052
2017-09-30,87518.63702483861,78139.06388098472,96280.5585552375
2017-10-31,65271.070688600455,56192.053163888646,75130.52220595669
2017-11-30,99056.32019069268,90238.08562382094,108027.29635308786
2017-12-31,93756.95158564155,84660.4614825876,103405.94008660295
2018-01-31,44491.08130616923,35204.836847384155,54630.136260478
2018-02-28,35661.189752470076,26335.181881552184,44916.50003351534
2018-03-31,71959.64168209315,63336.19435856019,80792.7415646198
2018-04-30,55942.164467183364,46563.416205052,64977.370091285746
2018-05-31,56193.01611559175,46936.36562722393,65675.98646317516
2018-06-30,57387.96788377048,47869.45643392781,66873.06278838025
2018-07-31,57316.011971879714,47956.27128142205,66725.10006172104
2018-08-31,61936.11712744459,53227.74277323052,70929.04663545062
2018-09-30,98895.78638014893,89390.46600388088,108390.27887604818
2018-10-31,67553.70296509036,58176.409653354756,76825.07625848311
2018-11-30,109972.7263077168,100497.65001962893,118728.555728679
2018-12-31,101864.68995006502,92973.18074842617,110944.35280396363
